cd_adj,caserate,deathrate,pctnohi,pctsvc,pctsevere,pctpoc,pctrentburden,proratedami,evictionrate,litigations,rate,cd,change,newunits,foreclosures,scriedrie,rsunits,outagerate,units,PctNonBank
406,95.88284533271201,2.5370854583581433,0.04672654362154531,0.14977734332573042,0.04005324998552989,0.40953346087549486,0.43705027932960894,1.022783195428907,0.12081359325514968,24,7.397550689009676,406,0.027644779945041293,NA,37,1688,13089,NA,NA,0.23337363966142685
407,104.81760368625608,3.04577733265741,0.14008982197933012,0.3524174298187495,0.035710170311815816,0.7201514159812231,0.6122303645677792,0.5965654562613146,0.1401304862115723,51,16.162310866574966,407,-0.018945336461815707,275,141,1443,15520,202.6143790849673,NA,0.20770877944325483
408,97.50611127705878,2.5359513780091563,0.0733523827080837,0.31130920064140605,0.02701338955866717,0.6619833680574104,0.4931897265948633,0.7599380811473943,0.17678507202467675,44,15.093709097997717,408,-9.235708199393633e-4,215,83,1058,13372,120.8313194780087,NA,0.36724137931034484
409,127.4091888641937,3.4993616029508132,0.10361507818216309,0.40433033992617484,0.031247148982757048,0.70604357383344,0.5027600647187589,0.7749122437906253,0.270220973200835,75,30.246336139694417,409,0.06818101912207494,17,133,456,5968,NA,NA,0.4691588785046729
410,125.8434065727417,3.407475384187208,0.06551983738613265,0.3817074365589993,0.014755146400716021,0.6263157006949599,0.5516559565002471,0.8620873116888964,0.18052849717548122,52,18.75404181935762,410,0.11478941073257537,30,145,68,820,NA,NA,0.5442857142857143
411,78.10583827397515,1.750721009497873,0.06402262920050288,0.23185624563852059,0.012561076795427306,0.5361289083640299,0.4576495939002155,1.0030280664313187,0.10149107301436945,12,3.0099398012039758,411,-0.022855052631271227,62,68,242,3014,NA,NA,0.22965440356744704
412,108.95353198231797,4.049674888223073,0.08249466300701433,0.42909021737250763,0.03691562932226833,0.9353103305356958,0.5038478949751019,0.6741328783332888,0.40454608664871494,158,31.61325793276783,412,0.13993671142388214,630,518,898,10112,21.1340206185567,54,0.7378277153558053
413,96.58931169695923,3.2503884189499126,0.056529729029816185,0.36125339878000345,0.010050415766385124,0.873009070068773,0.5198690376837646,0.9666694881462166,0.22195368566425805,81,7.6378748736381,413,0.11357429811135457,15,336,143,2189,NA,NA,0.5787610619469027
414,101.03786292112086,2.8185024564572516,0.06876174264930227,0.477685884374126,0.0254744320837618,0.5300558567438804,0.56679606320825,0.5841252185136085,0.43601142972819357,80,36.49020807833537,414,0.18301062209819008,428,133,321,7677,156.88530878404296,NA,0.5773809523809523
501,138.81023124378572,2.6339812655902035,0.06582409321556099,0.3440512953490017,0.01652524919680369,0.42564771985584154,0.5357680453014121,0.8052483598875352,0.3430571626265387,86,34.196438326231835,501,0.12206398757325239,68,225,245,5999,59.71128608923885,141,0.5495951417004049
502,141.32305511765472,2.4875981661194917,0.040334911346996384,0.30367474589523064,0.015395026222297412,0.26953604156144023,0.5088579563429294,0.8673550789335492,0.0723139001778922,11,6.931030564708556,502,0.025280227964532487,88,120,68,942,50.38488453463961,NA,0.39481865284974094
503,150.69491690154533,2.0227913305471863,0.022391733779060934,0.21510551647537948,0.0062132056365103066,0.08569144387015208,0.350113550340651,1.1413957095566598,0.09719117504130625,10,7.766470273165506,503,0.0345588235294118,136,160,153,1318,NA,NA,0.520516717325228
